Record Type,Customer Name,Created Date,Total Amount,Status
Completed Job,Hank Reed,08/25/2023,17449,closed won
Completed Job,Ted Thompson,03/22/2023,13575,closed won
Completed Job,Maria Chandler,01/14/2021,21597,closed won
Completed Job,Carl Olsen,02/18/2026,12471,closed won
Completed Job,Jim Hansen,04/23/2024,20607,closed won
Completed Job,Jim Miller,04/06/2020,20567,closed won
Completed Job,Rosa Ortiz,10/30/2024,16130,closed won
Missed Call,Hank Reed,08/04/2026,,
Estimate,Hank Olsen,07/03/2026,18107,open - no response
Completed Job,Rosa Ortiz,11/11/2022,15876,closed won
Completed Job,Donna Nguyen,12/08/2022,30666,closed won
Completed Job,Hank Olsen,06/23/2020,9138,closed won
Estimate,Sandra Nguyen,11/04/2025,18571,open - no response
Completed Job,Luis Miller,04/13/2020,20283,closed won
Completed Job,Hank Olsen,09/20/2020,19845,closed won
Missed Call,Maria Garcia,07/21/2026,,
Completed Job,Maria Foster,05/20/2022,9148,closed won
Completed Job,Nina Baker,11/18/2022,33458,closed won
Completed Job,Ray Miller,01/06/2023,18760,closed won
Completed Job,Maria Foster,09/20/2021,18537,closed won
Completed Job,Nina Nguyen,01/12/2025,30871,closed won
Estimate,Jim Hansen,03/30/2026,11986,open - no response
Completed Job,Pat Foster,04/16/2022,10473,closed won
Completed Job,Kevin Reed,08/25/2024,29962,closed won
Missed Call,Sandra Baker,07/26/2026,,
Completed Job,Kevin Reed,07/14/2021,24141,closed won
Completed Job,Jim Miller,09/28/2022,10594,closed won
Completed Job,Ray Hansen,08/22/2025,32070,closed won
Estimate,Kevin Weber,05/28/2024,29350,lost
Completed Job,Dale Olsen,06/27/2024,17995,closed won
Estimate,Jim Miller,04/01/2026,22358,open - no response
Completed Job,Ted Hansen,04/10/2022,32453,closed won
Estimate,Rosa Ortiz,07/08/2026,23389,open - no response
Completed Job,Pat Foster,03/14/2025,19733,closed won
Completed Job,Kevin Reed,09/20/2024,22808,closed won
Completed Job,Nina Nguyen,01/09/2026,13045,closed won
Completed Job,Beth Garcia,01/19/2025,30473,closed won
Completed Job,Dale Weber,09/05/2023,25019,closed won
Estimate,Donna Nguyen,02/20/2026,28615,open - no response
Completed Job,Nina Nguyen,08/27/2020,25860,closed won
Completed Job,Pat Garcia,07/30/2021,11961,closed won
Completed Job,Hank Reed,12/28/2020,30302,closed won
Estimate,Kevin Reed,01/17/2026,20259,open - no response
Estimate,Sandra Ortiz,03/08/2026,11944,open - no response
Estimate,Ted Miller,10/23/2025,29718,open - no response
Completed Job,Hank Weber,04/10/2021,12028,closed won
Completed Job,Donna Nguyen,01/05/2022,31525,closed won
Estimate,Ted Thompson,08/03/2024,25363,lost
Estimate,Pat Foster,07/21/2026,15336,open - no response
Estimate,Sandra Nguyen,03/16/2025,27866,lost
Completed Job,Dale Weber,12/27/2025,30192,closed won
Completed Job,Maria Garcia,12/16/2021,20870,closed won
Estimate,Beth Foster,05/17/2024,12363,lost
Missed Call,Pat Garcia,07/25/2026,,
Completed Job,Luis Hansen,04/27/2025,20737,closed won
Estimate,Gloria Chandler,12/29/2025,20789,open - no response
Completed Job,Rosa Ortiz,03/27/2022,9436,closed won
Completed Job,Luis Miller,06/08/2024,25016,closed won
Estimate,Pat Chandler,05/19/2026,18940,open - no response
Missed Call,Ted Thompson,08/01/2026,,
Completed Job,Hank Olsen,02/03/2023,33950,closed won
Estimate,Rosa Nguyen,10/03/2025,15277,open - no response
Completed Job,Carl Olsen,10/15/2024,19419,closed won
Completed Job,Hank Olsen,02/25/2025,16477,closed won
Completed Job,Ted Hansen,09/22/2024,26876,closed won
Completed Job,Luis Miller,05/14/2020,15757,closed won
Completed Job,Pat Garcia,05/31/2020,19965,closed won
Completed Job,Luis Thompson,05/10/2026,22685,closed won
Completed Job,Beth Foster,01/15/2021,28394,closed won
Completed Job,Beth Garcia,10/29/2020,15509,closed won
Completed Job,Pat Garcia,05/24/2020,11145,closed won
Estimate,Beth Foster,02/04/2026,23255,open - no response
Estimate,Maria Chandler,03/04/2026,13604,open - no response
Missed Call,Ray Thompson,08/02/2026,,
Completed Job,Jim Miller,07/07/2022,18009,closed won
Estimate,Jim Thompson,05/27/2024,15870,lost
Estimate,Gloria Garcia,01/31/2026,27217,open - no response
Completed Job,Beth Garcia,04/25/2022,20981,closed won
Completed Job,Carl Olsen,12/18/2021,14072,closed won
Completed Job,Kevin Weber,06/22/2023,25835,closed won
Completed Job,Ray Miller,11/11/2021,20160,closed won
Estimate,Jim Thompson,01/13/2026,15803,open - no response
Estimate,Ray Miller,05/19/2026,14681,open - no response
Missed Call,Beth Chandler,08/05/2026,,
Completed Job,Dale Olsen,04/02/2024,11249,closed won
Completed Job,Pat Foster,02/06/2026,27229,closed won
Estimate,Rosa Baker,10/28/2025,12721,open - no response
Completed Job,Rosa Baker,06/23/2022,31719,closed won
Completed Job,Gloria Garcia,06/18/2021,29007,closed won
Completed Job,Donna Baker,08/12/2023,29333,closed won
Completed Job,Beth Chandler,04/11/2022,32457,closed won
Completed Job,Dale Reed,02/22/2023,10441,closed won
Estimate,Hank Reed,10/04/2025,28173,open - no response
Completed Job,Dale Reed,10/04/2024,11238,closed won
Completed Job,Donna Baker,02/07/2022,10918,closed won
Completed Job,Beth Chandler,08/22/2021,13689,closed won
Completed Job,Sandra Nguyen,08/22/2025,28006,closed won
Completed Job,Luis Hansen,10/22/2021,12875,closed won
Completed Job,Rosa Baker,01/02/2022,22734,closed won
Completed Job,Luis Miller,02/15/2022,21778,closed won
Completed Job,Jim Hansen,05/12/2026,29972,closed won
Completed Job,Rosa Nguyen,01/17/2023,10364,closed won
Completed Job,Dale Weber,06/18/2021,17151,closed won
Completed Job,Carl Reed,06/18/2024,33270,closed won
Estimate,Carl Olsen,09/17/2025,24105,open - no response
Completed Job,Pat Foster,07/24/2025,20388,closed won
Completed Job,Carl Reed,07/24/2024,10671,closed won
Estimate,Maria Foster,10/30/2025,28924,open - no response
Completed Job,Hank Weber,04/09/2021,10811,closed won
Completed Job,Rosa Ortiz,10/17/2023,21071,closed won
Completed Job,Jim Thompson,07/30/2020,11169,closed won
Completed Job,Ray Thompson,12/07/2023,9905,closed won
Completed Job,Ted Thompson,05/06/2023,15025,closed won
Estimate,Donna Baker,04/10/2025,25231,lost
Estimate,Donna Baker,03/02/2026,20668,open - no response
Completed Job,Dale Weber,01/09/2021,23565,closed won
Missed Call,Kevin Weber,07/26/2026,,
Completed Job,Pat Chandler,09/22/2022,18667,closed won
Completed Job,Hank Reed,05/22/2025,27230,closed won
Estimate,Gloria Foster,05/18/2026,16732,open - no response
Completed Job,Carl Olsen,01/19/2026,32239,closed won
Estimate,Gloria Chandler,03/26/2024,27303,lost
Estimate,Luis Hansen,03/26/2026,15458,open - no response
Estimate,Pat Garcia,12/10/2024,25675,lost
Estimate,Hank Reed,07/31/2024,19961,lost
Estimate,Carl Olsen,07/17/2024,12633,lost
Completed Job,Beth Chandler,03/01/2023,22452,closed won
Completed Job,Luis Hansen,05/24/2021,12646,closed won
Completed Job,Dale Olsen,01/11/2021,10774,closed won
Estimate,Luis Hansen,04/26/2026,19278,open - no response
Completed Job,Sandra Nguyen,07/26/2020,27849,closed won
Completed Job,Ray Hansen,06/03/2020,28604,closed won
Completed Job,Kevin Weber,09/01/2023,30991,closed won
Completed Job,Sandra Nguyen,01/01/2023,25886,closed won
Completed Job,Rosa Nguyen,06/28/2023,14292,closed won
Completed Job,Kevin Olsen,08/10/2025,23138,closed won
Completed Job,Pat Foster,04/10/2021,30893,closed won
Estimate,Beth Garcia,04/18/2026,26018,open - no response
Completed Job,Beth Garcia,07/20/2025,18312,closed won
Estimate,Gloria Foster,11/05/2025,27518,open - no response
Completed Job,Ted Miller,03/21/2021,24448,closed won
