Record Type,Customer Name,Created Date,Total Amount,Status
Completed Job,Homeowner 250,03/25/2021,10705,closed
Estimate,Prospect 60,08/07/2025,10397,open
Missed Call,Caller 17,07/05/2026,,
Completed Job,Homeowner 20,12/19/2025,16987,closed
Completed Job,Homeowner 140,04/26/2025,22595,closed
Completed Job,Homeowner 18,10/13/2022,15658,closed
Completed Job,Homeowner 253,06/28/2022,23912,closed
Completed Job,Homeowner 24,07/17/2022,19650,closed
Missed Call,Caller 16,07/15/2026,,
Completed Job,Homeowner 74,10/26/2021,28058,closed
Completed Job,Homeowner 178,10/19/2023,9732,closed
Completed Job,Homeowner 96,07/25/2025,12522,closed
Completed Job,Homeowner 98,06/12/2025,10504,closed
Completed Job,Homeowner 14,08/18/2025,13617,closed
Completed Job,Homeowner 85,07/02/2024,20117,closed
Completed Job,Homeowner 203,08/29/2021,31436,closed
Completed Job,Homeowner 232,03/23/2023,34560,closed
Estimate,Prospect 47,01/22/2026,22563,open
Completed Job,Homeowner 170,08/18/2025,26974,closed
Completed Job,Homeowner 239,10/08/2023,34952,closed
Completed Job,Homeowner 33,05/17/2021,31709,closed
Completed Job,Homeowner 76,03/19/2024,29578,closed
Completed Job,Homeowner 221,08/12/2023,32149,closed
Completed Job,Homeowner 231,12/08/2023,19485,closed
Missed Call,Caller 25,07/30/2026,,
Completed Job,Homeowner 155,09/14/2021,28920,closed
Completed Job,Homeowner 41,03/26/2022,20383,closed
Completed Job,Homeowner 105,03/13/2023,13590,closed
Completed Job,Homeowner 205,12/27/2024,15224,closed
Missed Call,Caller 4,07/18/2026,,
Completed Job,Homeowner 254,01/07/2024,29502,closed
Completed Job,Homeowner 119,01/20/2022,33074,closed
Estimate,Prospect 51,03/22/2026,15802,open
Completed Job,Homeowner 4,10/07/2024,14059,closed
Completed Job,Homeowner 13,04/20/2025,19039,closed
Completed Job,Homeowner 7,09/06/2023,13157,closed
Completed Job,Homeowner 229,04/20/2021,8327,closed
Completed Job,Homeowner 86,10/10/2021,12644,closed
Missed Call,Caller 22,07/28/2026,,
Estimate,Prospect 39,07/29/2025,12334,open
Completed Job,Homeowner 219,11/04/2024,14155,closed
Completed Job,Homeowner 89,09/30/2023,28202,closed
Missed Call,Caller 3,07/22/2026,,
Completed Job,Homeowner 92,06/02/2022,19538,closed
Completed Job,Homeowner 133,05/29/2023,30147,closed
Completed Job,Homeowner 198,09/21/2022,8166,closed
Missed Call,Caller 1,07/13/2026,,
Completed Job,Homeowner 244,07/26/2023,34895,closed
Missed Call,Caller 9,07/19/2026,,
Estimate,Prospect 24,07/03/2026,25369,open
Completed Job,Homeowner 32,11/13/2025,34526,closed
Completed Job,Homeowner 82,01/12/2026,24895,closed
Completed Job,Homeowner 54,04/25/2021,33794,closed
Completed Job,Homeowner 238,11/20/2021,15672,closed
Completed Job,Homeowner 118,04/12/2025,32667,closed
Missed Call,Caller 0,07/23/2026,,
Estimate,Prospect 14,02/13/2026,20958,open
Completed Job,Homeowner 99,02/04/2023,20228,closed
Completed Job,Homeowner 71,04/08/2026,24546,closed
Completed Job,Homeowner 43,07/30/2022,23283,closed
Completed Job,Homeowner 230,12/03/2022,19358,closed
Completed Job,Homeowner 67,05/03/2024,16004,closed
Completed Job,Homeowner 255,03/01/2021,32114,closed
Completed Job,Homeowner 60,11/27/2023,27562,closed
Completed Job,Homeowner 134,08/15/2021,33912,closed
Completed Job,Homeowner 64,09/24/2021,22025,closed
Estimate,Prospect 50,06/01/2026,22528,open
Estimate,Prospect 62,12/24/2025,10735,open
Completed Job,Homeowner 208,10/02/2023,17205,closed
Completed Job,Homeowner 183,10/23/2025,28744,closed
Completed Job,Homeowner 218,04/14/2026,27212,closed
Completed Job,Homeowner 12,06/23/2023,12655,closed
Completed Job,Homeowner 182,04/28/2025,29917,closed
Estimate,Prospect 64,04/26/2025,22185,lost
Completed Job,Homeowner 27,03/04/2022,18061,closed
Completed Job,Homeowner 84,02/22/2025,15315,closed
Completed Job,Homeowner 80,06/23/2021,8807,closed
Completed Job,Homeowner 45,07/16/2023,15342,closed
Completed Job,Homeowner 44,08/31/2023,15498,closed
Completed Job,Homeowner 162,09/25/2023,14562,closed
Estimate,Prospect 38,12/21/2025,10880,open
Completed Job,Homeowner 130,08/10/2022,15238,closed
Completed Job,Homeowner 165,07/02/2022,22313,closed
Completed Job,Homeowner 173,10/22/2023,8745,closed
Completed Job,Homeowner 226,04/07/2023,8463,closed
Completed Job,Homeowner 123,07/09/2023,9355,closed
Estimate,Prospect 23,06/09/2026,28747,open
Estimate,Prospect 12,06/21/2025,17913,lost
Estimate,Prospect 5,04/16/2025,22774,lost
Completed Job,Homeowner 107,02/14/2023,22503,closed
Estimate,Prospect 16,11/19/2025,15608,open
Completed Job,Homeowner 210,09/10/2022,10081,closed
Completed Job,Homeowner 75,01/23/2025,23269,closed
Completed Job,Homeowner 103,10/11/2024,21379,closed
Estimate,Prospect 43,03/08/2026,29782,open
Completed Job,Homeowner 257,11/19/2024,27259,closed
Estimate,Prospect 65,05/21/2026,30186,open
Estimate,Prospect 69,03/08/2026,13026,open
Completed Job,Homeowner 185,02/20/2023,34949,closed
Estimate,Prospect 11,12/30/2025,22779,open
Completed Job,Homeowner 109,07/08/2021,23658,closed
Estimate,Prospect 67,12/05/2025,26674,open
Completed Job,Homeowner 66,02/14/2021,21851,closed
Completed Job,Homeowner 154,06/30/2025,29889,closed
Estimate,Prospect 28,06/09/2025,22868,lost
Completed Job,Homeowner 115,12/21/2025,33486,closed
Completed Job,Homeowner 196,04/30/2025,16904,closed
Completed Job,Homeowner 145,11/23/2025,11012,closed
Completed Job,Homeowner 39,02/26/2021,10766,closed
Completed Job,Homeowner 79,06/03/2022,12972,closed
Completed Job,Homeowner 179,07/16/2024,23910,closed
Completed Job,Homeowner 247,11/15/2023,22887,closed
Completed Job,Homeowner 110,09/29/2025,11645,closed
Missed Call,Caller 21,07/28/2026,,
